format	process	order	variant	sample	ms_per_image	output_hash	output_bytes
PNG	0	candidate-parent	candidate	0	39.035370875	ace64e860de89b43	6441688
PNG	0	candidate-parent	candidate	1	39.089766583	ace64e860de89b43	6441688
PNG	0	candidate-parent	candidate	2	38.909219583	ace64e860de89b43	6441688
PNG	0	candidate-parent	parent	0	39.580715667	ace64e860de89b43	6441688
PNG	0	candidate-parent	parent	1	39.395362625	ace64e860de89b43	6441688
PNG	0	candidate-parent	parent	2	39.522074958	ace64e860de89b43	6441688
PNG	1	parent-candidate	parent	0	39.707224000	ace64e860de89b43	6441688
PNG	1	parent-candidate	parent	1	39.201099208	ace64e860de89b43	6441688
PNG	1	parent-candidate	parent	2	39.323235125	ace64e860de89b43	6441688
PNG	1	parent-candidate	candidate	0	39.425161708	ace64e860de89b43	6441688
PNG	1	parent-candidate	candidate	1	39.184170625	ace64e860de89b43	6441688
PNG	1	parent-candidate	candidate	2	39.005206125	ace64e860de89b43	6441688
JPEG	0	parent-candidate	parent	0	39.151219375	1cbb84d2ab926db3	6400792
JPEG	0	parent-candidate	parent	1	39.328562958	1cbb84d2ab926db3	6400792
JPEG	0	parent-candidate	parent	2	39.423118292	1cbb84d2ab926db3	6400792
JPEG	0	parent-candidate	candidate	0	39.738895750	1cbb84d2ab926db3	6400792
JPEG	0	parent-candidate	candidate	1	39.640962542	1cbb84d2ab926db3	6400792
JPEG	0	parent-candidate	candidate	2	39.919684542	1cbb84d2ab926db3	6400792
JPEG	1	candidate-parent	candidate	0	39.098261542	1cbb84d2ab926db3	6400792
JPEG	1	candidate-parent	candidate	1	39.332007083	1cbb84d2ab926db3	6400792
JPEG	1	candidate-parent	candidate	2	39.258974542	1cbb84d2ab926db3	6400792
JPEG	1	candidate-parent	parent	0	40.064683250	1cbb84d2ab926db3	6400792
JPEG	1	candidate-parent	parent	1	39.606596875	1cbb84d2ab926db3	6400792
JPEG	1	candidate-parent	parent	2	39.577875375	1cbb84d2ab926db3	6400792
