format	process	order	variant	sample	ms_per_image	output_hash	output_bytes
PNG	0	candidate-parent	candidate	0	39.182500542	99f33682e7cc9063	6441688
PNG	0	candidate-parent	candidate	1	39.981665625	99f33682e7cc9063	6441688
PNG	0	candidate-parent	candidate	2	38.963982542	99f33682e7cc9063	6441688
PNG	0	candidate-parent	parent	0	39.299040917	99f33682e7cc9063	6441688
PNG	0	candidate-parent	parent	1	39.252502625	99f33682e7cc9063	6441688
PNG	0	candidate-parent	parent	2	39.470059958	99f33682e7cc9063	6441688
PNG	1	parent-candidate	parent	0	39.575972500	99f33682e7cc9063	6441688
PNG	1	parent-candidate	parent	1	39.531068875	99f33682e7cc9063	6441688
PNG	1	parent-candidate	parent	2	39.546600875	99f33682e7cc9063	6441688
PNG	1	parent-candidate	candidate	0	39.463456875	99f33682e7cc9063	6441688
PNG	1	parent-candidate	candidate	1	39.570525208	99f33682e7cc9063	6441688
PNG	1	parent-candidate	candidate	2	39.336656542	99f33682e7cc9063	6441688
JPEG	0	parent-candidate	parent	0	40.369891917	1b9eceb1d93cad23	6400792
JPEG	0	parent-candidate	parent	1	39.784696875	1b9eceb1d93cad23	6400792
JPEG	0	parent-candidate	parent	2	39.613599375	1b9eceb1d93cad23	6400792
JPEG	0	parent-candidate	candidate	0	40.023002708	1b9eceb1d93cad23	6400792
JPEG	0	parent-candidate	candidate	1	39.345919792	1b9eceb1d93cad23	6400792
JPEG	0	parent-candidate	candidate	2	39.510920167	1b9eceb1d93cad23	6400792
JPEG	1	candidate-parent	candidate	0	39.554554542	1b9eceb1d93cad23	6400792
JPEG	1	candidate-parent	candidate	1	39.569796375	1b9eceb1d93cad23	6400792
JPEG	1	candidate-parent	candidate	2	39.491430000	1b9eceb1d93cad23	6400792
JPEG	1	candidate-parent	parent	0	40.058772625	1b9eceb1d93cad23	6400792
JPEG	1	candidate-parent	parent	1	39.729528417	1b9eceb1d93cad23	6400792
JPEG	1	candidate-parent	parent	2	40.084018458	1b9eceb1d93cad23	6400792
