content	geometry	method	quality	cpu_sha256	nvdec_sha256	cpu_bytes	nvdec_bytes	nvdec_selected	decline_reason	cpu_json	nvdec_json
graphic	tiny-17x13	0	25	63c21e0b43baa50c1fcb93f2445c6c640b75fab72d24c1ddb6e30d4c02767455	63c21e0b43baa50c1fcb93f2445c6c640b75fab72d24c1ddb6e30d4c02767455	254	254	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":0,"quality":25,"parse_ns":140,"decode_ns":65312,"device_handoff_ns":0,"webp_encode_ns":226078566,"metadata_ns":60,"total_ns":226145211,"images_per_second":4.421938,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":254}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":0,"quality":25,"parse_ns":180,"decode_ns":49182,"device_handoff_ns":0,"webp_encode_ns":1466018,"metadata_ns":40,"total_ns":136345372,"images_per_second":7.334316,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":254}
graphic	tiny-17x13	0	75	a28ca6382e7b63ea2187bbc220424d9d907fb46f913871dbbe883e65ba12540f	a28ca6382e7b63ea2187bbc220424d9d907fb46f913871dbbe883e65ba12540f	328	328	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":0,"quality":75,"parse_ns":121,"decode_ns":69169,"device_handoff_ns":0,"webp_encode_ns":143098336,"metadata_ns":130,"total_ns":143168597,"images_per_second":6.984772,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":328}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":0,"quality":75,"parse_ns":171,"decode_ns":56456,"device_handoff_ns":0,"webp_encode_ns":1446732,"metadata_ns":51,"total_ns":132528623,"images_per_second":7.545540,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":328}
graphic	tiny-17x13	0	98	485d8ca05c6d60e256e777be28042ba1b12cb9609c86475685656a6451a0e239	485d8ca05c6d60e256e777be28042ba1b12cb9609c86475685656a6451a0e239	428	428	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":0,"quality":98,"parse_ns":180,"decode_ns":68669,"device_handoff_ns":0,"webp_encode_ns":142083500,"metadata_ns":131,"total_ns":142153210,"images_per_second":7.034664,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":428}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":0,"quality":98,"parse_ns":221,"decode_ns":49893,"device_handoff_ns":0,"webp_encode_ns":1460568,"metadata_ns":140,"total_ns":136804279,"images_per_second":7.309713,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":428}
graphic	tiny-17x13	1	25	aefe4adf899e5b6d408362b5498b74338953b76354545a250f7a54403c70f933	aefe4adf899e5b6d408362b5498b74338953b76354545a250f7a54403c70f933	258	258	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":1,"quality":25,"parse_ns":450,"decode_ns":59601,"device_handoff_ns":0,"webp_encode_ns":128321344,"metadata_ns":40,"total_ns":128382267,"images_per_second":7.789238,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":258}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":1,"quality":25,"parse_ns":220,"decode_ns":49692,"device_handoff_ns":0,"webp_encode_ns":1446261,"metadata_ns":50,"total_ns":131802175,"images_per_second":7.587128,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":258}
graphic	tiny-17x13	1	75	906ca2e57cf96e5026f79af2de7edbbade49c8ab406d0ca511128837342caad6	906ca2e57cf96e5026f79af2de7edbbade49c8ab406d0ca511128837342caad6	328	328	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":1,"quality":75,"parse_ns":140,"decode_ns":61795,"device_handoff_ns":0,"webp_encode_ns":129939426,"metadata_ns":40,"total_ns":130002163,"images_per_second":7.692180,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":328}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":1,"quality":75,"parse_ns":160,"decode_ns":52768,"device_handoff_ns":0,"webp_encode_ns":1441924,"metadata_ns":40,"total_ns":129066886,"images_per_second":7.747921,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":328}
graphic	tiny-17x13	1	98	e7a5bedb7d1b9fc482ac59abce03df15c006fc0591fc041c2823fa216474650e	e7a5bedb7d1b9fc482ac59abce03df15c006fc0591fc041c2823fa216474650e	426	426	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":1,"quality":98,"parse_ns":190,"decode_ns":64020,"device_handoff_ns":0,"webp_encode_ns":136101867,"metadata_ns":150,"total_ns":136166978,"images_per_second":7.343924,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":426}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":1,"quality":98,"parse_ns":140,"decode_ns":52608,"device_handoff_ns":0,"webp_encode_ns":1410315,"metadata_ns":40,"total_ns":137368623,"images_per_second":7.279683,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":426}
graphic	tiny-17x13	2	25	925646cfc5eaf0845e4878a9e2d68b1b7de497bd94bfcebfc6c15c75e5a2403d	925646cfc5eaf0845e4878a9e2d68b1b7de497bd94bfcebfc6c15c75e5a2403d	184	184	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":2,"quality":25,"parse_ns":180,"decode_ns":59702,"device_handoff_ns":0,"webp_encode_ns":130124562,"metadata_ns":140,"total_ns":130185375,"images_per_second":7.681354,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":184}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":2,"quality":25,"parse_ns":150,"decode_ns":49964,"device_handoff_ns":0,"webp_encode_ns":1403131,"metadata_ns":40,"total_ns":130740552,"images_per_second":7.648736,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":184}
graphic	tiny-17x13	2	75	39f2fbd27a0e7dfe83d38ab843ecedc46b07516fc621cc54cf1aa86e5e4154e5	39f2fbd27a0e7dfe83d38ab843ecedc46b07516fc621cc54cf1aa86e5e4154e5	264	264	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":2,"quality":75,"parse_ns":190,"decode_ns":59983,"device_handoff_ns":0,"webp_encode_ns":135209660,"metadata_ns":40,"total_ns":135270614,"images_per_second":7.392589,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":264}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":2,"quality":75,"parse_ns":141,"decode_ns":56726,"device_handoff_ns":0,"webp_encode_ns":1421546,"metadata_ns":40,"total_ns":134378268,"images_per_second":7.441679,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":264}
graphic	tiny-17x13	2	98	64a05f0c48cf4fe0b1076eda94aa79ea920bf59103d76d6f9a1413f6c3844c21	64a05f0c48cf4fe0b1076eda94aa79ea920bf59103d76d6f9a1413f6c3844c21	422	422	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":2,"quality":98,"parse_ns":150,"decode_ns":65993,"device_handoff_ns":0,"webp_encode_ns":130755240,"metadata_ns":30,"total_ns":130822175,"images_per_second":7.643964,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":422}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":2,"quality":98,"parse_ns":200,"decode_ns":45756,"device_handoff_ns":0,"webp_encode_ns":1450319,"metadata_ns":40,"total_ns":133747629,"images_per_second":7.476768,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":422}
graphic	tiny-17x13	3	25	254b6b9ce85d7e6a76a34dc105f101bda24104dcd98b1acb1b518e7510e71709	254b6b9ce85d7e6a76a34dc105f101bda24104dcd98b1acb1b518e7510e71709	176	176	cpu	unsupported-nvdec-sequence	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"forced-cpu","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":3,"quality":25,"parse_ns":150,"decode_ns":57728,"device_handoff_ns":0,"webp_encode_ns":137579226,"metadata_ns":40,"total_ns":137637846,"images_per_second":7.265444,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":176}	{"operation":"webp_transcode","sequence":0,"backend":"cpu","decline_reason":"unsupported-nvdec-sequence","decoded_format":"cpu-yuv420","nvdec_decode_status":0,"nvdec_decode_status_result":-1,"nvdec_error_concealed":false,"width":17,"height":13,"method":3,"quality":25,"parse_ns":140,"decode_ns":53509,"device_handoff_ns":0,"webp_encode_ns":2587484,"metadata_ns":40,"total_ns":130692352,"images_per_second":7.651557,"decoded_host_to_device_bytes":0,"decoded_device_to_host_bytes":0,"decoded_device_to_device_bytes":0,"verification_psnr_db":-1.000000,"output_bytes":176}
