format,arm,process,sequence,elapsed_ns,ns_per_image,images_per_second,output_hash,output_bytes
png,parent,1,0,969542721,40397613.375,24.753938,ace64e860de89b43,6441688
png,parent,1,1,946692489,39445520.375,25.351421,ace64e860de89b43,6441688
png,parent,1,2,941058857,39210785.708,25.503187,ace64e860de89b43,6441688
png,pair,1,0,1052880904,43870037.667,22.794601,ace64e860de89b43,6441688
png,pair,1,1,1053262897,43885954.042,22.786334,ace64e860de89b43,6441688
png,pair,1,2,1038299921,43262496.708,23.114708,ace64e860de89b43,6441688
png,pair,2,0,1059089441,44128726.708,22.660976,ace64e860de89b43,6441688
png,pair,2,1,1057697406,44070725.250,22.690800,ace64e860de89b43,6441688
png,pair,2,2,1094120968,45588373.667,21.935417,ace64e860de89b43,6441688
png,parent,2,0,1024228437,42676184.875,23.432273,ace64e860de89b43,6441688
png,parent,2,1,999030748,41626281.167,24.023285,ace64e860de89b43,6441688
png,parent,2,2,1009083510,42045146.250,23.783958,ace64e860de89b43,6441688
jpeg,parent,1,0,997303466,41554311.083,24.064892,1cbb84d2ab926db3,6400792
jpeg,parent,1,1,1002785613,41782733.875,23.933331,1cbb84d2ab926db3,6400792
jpeg,parent,1,2,1033175383,43048974.292,23.229357,1cbb84d2ab926db3,6400792
jpeg,pair,1,0,1060416875,44184036.458,22.632609,1cbb84d2ab926db3,6400792
jpeg,pair,1,1,1002342815,41764283.958,23.943904,1cbb84d2ab926db3,6400792
jpeg,pair,1,2,986400521,41100021.708,24.330887,1cbb84d2ab926db3,6400792
jpeg,pair,2,0,997924008,41580167.000,24.049927,1cbb84d2ab926db3,6400792
jpeg,pair,2,1,991144502,41297687.583,24.214431,1cbb84d2ab926db3,6400792
jpeg,pair,2,2,991349483,41306228.458,24.209424,1cbb84d2ab926db3,6400792
jpeg,parent,2,0,946191809,39424658.708,25.364836,1cbb84d2ab926db3,6400792
jpeg,parent,2,1,947624696,39484362.333,25.326482,1cbb84d2ab926db3,6400792
jpeg,parent,2,2,941238155,39218256.458,25.498329,1cbb84d2ab926db3,6400792
