format	pair	pipeline_ms_per_image	inline_ms_per_image	paired_gain_ms	pipeline_hash	inline_hash
png	0	40.524283	39.806848	0.717435	73b8b6adb7b52443	73b8b6adb7b52443
png	1	40.161477	39.589658	0.571819	73b8b6adb7b52443	73b8b6adb7b52443
png	2	40.207654	39.654883	0.552771	73b8b6adb7b52443	73b8b6adb7b52443
png	3	40.320164	40.305706	0.014458	73b8b6adb7b52443	73b8b6adb7b52443
png	4	40.118887	39.612125	0.506762	73b8b6adb7b52443	73b8b6adb7b52443
jpeg	0	39.974763	39.779751	0.195012	9d89fbb6c0f92203	9d89fbb6c0f92203
jpeg	1	40.039011	39.733085	0.305926	9d89fbb6c0f92203	9d89fbb6c0f92203
jpeg	2	40.403476	40.030802	0.372674	9d89fbb6c0f92203	9d89fbb6c0f92203
jpeg	3	40.644060	40.083158	0.560903	9d89fbb6c0f92203	9d89fbb6c0f92203
jpeg	4	40.611957	39.877565	0.734392	9d89fbb6c0f92203	9d89fbb6c0f92203

format	pipeline_process_median_ms	inline_process_median_ms	paired_gain_median_ms
png	40.207654	39.654883	0.552771
jpeg	40.403476	39.877565	0.372674
