input,method,run,variant,real_seconds
"mitski.png",4,1,cpu,1.01
"mitski.png",4,1,predictor_metal,1.07
"mitski.png",4,2,predictor_metal,1.05
"mitski.png",4,2,cpu,1.02
"mitski.png",4,3,cpu,1.02
"mitski.png",4,3,predictor_metal,1.06
"mitski.png",4,4,predictor_metal,1.05
"mitski.png",4,4,cpu,1.02
"mitski.png",4,5,cpu,1.01
"mitski.png",4,5,predictor_metal,1.06
"mitski.png",4,6,predictor_metal,1.05
"mitski.png",4,6,cpu,1.03
"mitski.png",4,7,cpu,1.02
"mitski.png",4,7,predictor_metal,1.06
"mitski.png",6,1,cpu,1.18
"mitski.png",6,1,predictor_metal,1.23
"mitski.png",6,2,predictor_metal,1.23
"mitski.png",6,2,cpu,1.19
"mitski.png",6,3,cpu,1.20
"mitski.png",6,3,predictor_metal,1.22
"mitski.png",6,4,predictor_metal,1.23
"mitski.png",6,4,cpu,1.18
"mitski.png",6,5,cpu,1.19
"mitski.png",6,5,predictor_metal,1.23
"mitski.png",6,6,predictor_metal,1.22
"mitski.png",6,6,cpu,1.19
"mitski.png",6,7,cpu,1.18
"mitski.png",6,7,predictor_metal,1.23
"corgi.jpeg",4,1,cpu,1.82
"corgi.jpeg",4,1,predictor_metal,1.83
"corgi.jpeg",4,2,predictor_metal,1.83
"corgi.jpeg",4,2,cpu,1.80
"corgi.jpeg",4,3,cpu,1.80
"corgi.jpeg",4,3,predictor_metal,1.85
"corgi.jpeg",4,4,predictor_metal,1.85
"corgi.jpeg",4,4,cpu,1.83
"corgi.jpeg",4,5,cpu,1.85
"corgi.jpeg",4,5,predictor_metal,1.90
"corgi.jpeg",4,6,predictor_metal,1.84
"corgi.jpeg",4,6,cpu,1.87
"corgi.jpeg",4,7,cpu,1.86
"corgi.jpeg",4,7,predictor_metal,1.90
"corgi.jpeg",6,1,cpu,2.19
"corgi.jpeg",6,1,predictor_metal,2.22
"corgi.jpeg",6,2,predictor_metal,2.22
"corgi.jpeg",6,2,cpu,2.18
"corgi.jpeg",6,3,cpu,2.20
"corgi.jpeg",6,3,predictor_metal,2.23
"corgi.jpeg",6,4,predictor_metal,2.22
"corgi.jpeg",6,4,cpu,2.19
"corgi.jpeg",6,5,cpu,2.20
"corgi.jpeg",6,5,predictor_metal,2.20
"corgi.jpeg",6,6,predictor_metal,2.24
"corgi.jpeg",6,6,cpu,2.20
"corgi.jpeg",6,7,cpu,2.22
"corgi.jpeg",6,7,predictor_metal,2.23
"siamese.jpg",4,1,cpu,3.54
"siamese.jpg",4,1,predictor_metal,3.60
"siamese.jpg",4,2,predictor_metal,3.60
"siamese.jpg",4,2,cpu,3.60
"siamese.jpg",4,3,cpu,3.61
"siamese.jpg",4,3,predictor_metal,3.61
"siamese.jpg",4,4,predictor_metal,3.57
"siamese.jpg",4,4,cpu,3.53
"siamese.jpg",4,5,cpu,3.53
"siamese.jpg",4,5,predictor_metal,3.71
"siamese.jpg",4,6,predictor_metal,3.55
"siamese.jpg",4,6,cpu,3.55
"siamese.jpg",4,7,cpu,3.57
"siamese.jpg",4,7,predictor_metal,3.62
"siamese.jpg",6,1,cpu,3.97
"siamese.jpg",6,1,predictor_metal,3.99
"siamese.jpg",6,2,predictor_metal,4.02
"siamese.jpg",6,2,cpu,4.00
"siamese.jpg",6,3,cpu,3.98
"siamese.jpg",6,3,predictor_metal,4.02
"siamese.jpg",6,4,predictor_metal,4.00
"siamese.jpg",6,4,cpu,3.97
"siamese.jpg",6,5,cpu,3.96
"siamese.jpg",6,5,predictor_metal,3.99
"siamese.jpg",6,6,predictor_metal,4.03
"siamese.jpg",6,6,cpu,3.97
"siamese.jpg",6,7,cpu,4.00
"siamese.jpg",6,7,predictor_metal,4.04
