case_id,content_class,size_class,pixels,method,sample_role,cpu_total_ms,cpu_total_mad_ms,metal_total_ms,metal_total_mad_ms,cpu_over_metal_ratio,observed_ratio_low,observed_ratio_high,cpu_minus_metal_ms,metal_cross_color_rate,metal_hash_rate,hash_parent_minus_direct_metal_ms,cross_parent_minus_dispatch_ms,metal_init_ms,metal_init_share,lossless_palette_ms,lossless_palette_share,lossless_predictor_ms,lossless_predictor_share,lossless_cross_color_ms,lossless_cross_color_share,metal_cross_color_dispatch_ms,metal_cross_color_dispatch_share,lossless_hash_chain_ms,lossless_hash_chain_share,metal_hash_pipeline_init_ms,metal_hash_pipeline_init_share,metal_hash_dispatch_ms,metal_hash_dispatch_share,lossless_backward_refs_ms,lossless_backward_refs_share,lossless_histogram_ms,lossless_histogram_share,lossless_huffman_ms,lossless_huffman_share,lossless_bitstream_ms,lossless_bitstream_share
graphic-small,graphic,small,262144,4,cold,3.727916,0.038084,42.753542,0.245501,0.08719548897258618,0.0780691649631924,0.08859500253140341,-39.025626,0.0,1.0,26.110333,0.0,25.844875,0.6045083937139056,28.324958,0.662517224888642,0.0,0.0,0.0,0.0,0.0,0.0,39.08275,0.9141406342426552,0.071292,0.0016675109631852257,12.901125,0.30175570014760417,2.534792,0.05928846784203283,0.747875,0.017492702709871383,0.037417,0.0008751789500855859,0.004709,0.00011014292102394697
graphic-small,graphic,small,262144,4,warm,3.682917,0.02375,10.4845,0.335917,0.3512725451857504,0.3276514060453583,0.3652398566381139,-6.801583,0.0,1.0,0.219041,0.0,4.2e-05,4.0059134913443654e-06,0.5715,0.05450903715007869,0.0,0.0,0.0,0.0,0.0,0.0,7.179999,0.6848203538556917,4.1e-05,3.910534598693309e-06,6.960917,0.663924555295913,2.426374,0.23142486527731412,0.682208,0.06506824359769182,0.031418,0.0029966140493108877,0.003001,0.00028623205684582
graphic-small,graphic,small,262144,6,cold,3.841459,0.003999,38.94875,1.355667,0.09862855675727719,0.08852524162889629,0.10229163700141326,-35.107291,0.0,1.0,25.099709,0.0,23.812167,0.6113717898520492,26.342833,0.6763460444815302,0.0,0.0,0.0,0.0,0.0,0.0,35.382459,0.9084363169549728,0.074542,0.0019138483263262621,10.208208,0.26209334060785006,2.406666,0.06179058377996727,0.760416,0.019523502037934466,0.036334,0.0009328669084373696,0.00375,9.628036843287654e-05
graphic-small,graphic,small,262144,6,warm,3.800209,0.011124,10.354542,0.583083,0.36700889329532876,0.32638100135998444,0.392863577852965,-6.554333,0.0,1.0,0.196541,0.0,0.000125,1.207199700382692e-05,0.418958,0.040461277765834545,0.0,0.0,0.0,0.0,0.0,0.0,7.040208,0.6799149590585465,4.1e-05,3.9596150172552296e-06,6.843626,0.660929860538496,2.380459,0.2298951513258626,0.736791,0.07115630995557312,0.030292,0.0029254794659194,0.002833,0.0002735997400947333
graphic-medium,graphic,medium,1920000,4,cold,15.241625,0.014417,69.150542,1.493958,0.22041222757154963,0.21554697110178428,0.24555457980857262,-53.908917,0.0,1.0,31.777249,0.0,30.140249,0.4358642481789948,33.639041,0.4864609882594991,0.0,0.0,0.0,0.0,0.0,0.0,55.725791,0.8058619554999294,0.070917,0.0010255451070795656,23.877625,0.34529917350467043,10.058292,0.14545499874751525,1.148083,0.016602660901775722,0.04225,0.0006109858112175029,0.006292,9.098988696285273e-05
graphic-medium,graphic,medium,1920000,4,warm,14.517292,0.006792,34.092708,0.278708,0.42581809576405605,0.41416267669451917,0.429849086177323,-19.575416,0.0,1.0,1.063792,0.0,0.000125,3.666473194209155e-06,1.427458,0.04186989194287529,0.0,0.0,0.0,0.0,0.0,0.0,20.84125,0.6113110756704924,0.0,0.0,19.777458,0.5801081568527792,9.791083,0.2871899468942156,0.924626,0.02712093154935067,0.038666,0.0011341428202183293,0.006042,0.0001772226483152937
graphic-medium,graphic,medium,1920000,6,cold,15.591709,0.002916,67.378292,0.095417,0.23140552449741528,0.2283352320234834,0.24463132318154554,-51.786583,0.0,1.0,30.201917,0.0,28.857541,0.42829137016414726,32.200166,0.47790119108391765,0.0,0.0,0.0,0.0,0.0,0.0,53.7465,0.7976827314055394,0.073541,0.001091464295354949,23.471042,0.3483472391968618,10.225501,0.15176254393625768,1.135958,0.0168594062906789,0.042833,0.000635709198446289,0.006417,9.52383892426362e-05
graphic-medium,graphic,medium,1920000,6,warm,14.7075,0.0155,33.723333,0.241833,0.4361223726017829,0.42024227302639544,0.4397353762525574,-19.015833,0.0,1.0,1.120292,0.0,0.000125,3.706632437547024e-06,1.861333,0.05519421819901372,0.0,0.0,0.0,0.0,0.0,0.0,20.645459,0.6122010241395772,0.0,0.0,19.525167,0.5789809388057817,9.743542,0.28892583067041444,0.992208,0.029422002860749263,0.057333,0.0017000988603350683,0.006126,0.00018165464249930455
graphic-large,graphic,large,6000000,4,cold,47.286666,0.0695,138.187541,1.230709,0.342191963601118,0.3385681788431572,0.36509674127707026,-90.900875,0.0,1.0,37.250541,0.0,31.699708,0.2293962811017818,38.171291,0.27622816589521626,0.0,0.0,0.0,0.0,0.0,0.0,95.193625,0.6888727037989626,0.077292,0.000559326835405516,57.865792,0.4187482574858178,34.395583,0.2489050948522197,1.165084,0.008431179768948924,0.04479,0.00032412473422622085,0.011708,8.472543845323943e-05
graphic-large,graphic,large,6000000,4,warm,44.285667,0.149458,98.531292,0.439583,0.44945789404649233,0.4418181106310316,0.45563524361866614,-54.245625,0.0,1.0,3.405749,0.0,0.000125,1.2686325071227119e-06,4.674917,0.04744601339440469,0.0,0.0,0.0,0.0,0.0,0.0,58.776416,0.5965253759181398,0.0,0.0,55.370667,0.5619602247781345,31.468875,0.3193795023006498,1.039918,0.01055419023633629,0.066084,0.0006706904848055783,0.0115,0.00011671419065528948
graphic-large,graphic,large,6000000,6,cold,47.964042,0.858708,134.694541,0.952376,0.3560949214712421,0.3472643171093966,0.37323584964589335,-86.730499,0.0,1.0,34.686208,0.0,29.522792,0.2191832852379667,35.528708,0.2637724419729824,0.0,0.0,0.0,0.0,0.0,0.0,92.270791,0.6850373468364988,0.073125,0.000542895053185563,57.511458,0.426976903243614,33.566542,0.24920491766626235,1.224625,0.009091868095827283,0.044125,0.0003275930833752201,0.011957,8.877122941456106e-05
graphic-large,graphic,large,6000000,6,warm,44.240875,0.080125,99.031333,0.369,0.4467361355218757,0.43806079833646183,0.44921905505721216,-54.790458,0.0,1.0,3.639,0.0,0.00025,2.524453548454205e-06,4.209625,0.04250801107564613,0.0,0.0,0.0,0.0,0.0,0.0,58.834375,0.5940985869593415,4.2e-05,4.241081961403064e-07,55.195333,0.5573522169998459,32.005374,0.3231843198556158,1.042917,0.010531182085572856,0.039124,0.00039506688251888925,0.011207,0.0001131662036701051
photo-small,photo,small,262144,4,cold,67.905791,0.102457,70.085625,2.467417,0.9688975592355779,0.8543381162617116,1.052883936232087,-2.179834,1.0,1.0,0.937208,26.490458,26.130792,0.37284096417774687,0.0,0.0,18.997791,0.2710654431632735,31.468125,0.44899542523877045,4.977667,0.07102265264810009,4.723542,0.06739673078466518,0.078792,0.00112422483212499,3.707542,0.05290017746149799,7.777208,0.1109672347218135,6.263793,0.08937343428128093,0.237708,0.0033916798202199097,0.194,0.002768042662100823
photo-small,photo,small,262144,4,warm,67.328791,0.476166,43.272208,2.718666,1.555936110308954,1.4478935589437605,1.6774675316893404,24.056583,1.0,1.0,0.836,0.553,0.000166,3.836180487947368e-06,0.0,0.0,18.852291,0.4356674149837697,5.597958,0.12936612802378838,5.044958,0.11658656290430107,5.018417,0.11597321310712871,0.0,0.0,4.182417,0.0966536535413215,7.240125,0.16731582081505986,5.849916,0.13518875671886213,0.232749,0.005378717905959409,0.188625,0.004359033400837785
photo-small,photo,small,262144,6,cold,314.911917,0.023792,322.519084,1.138166,0.9764132810199846,0.9706216993439819,0.9950917239257431,-7.607167,1.0,1.0,0.9445,25.135125,25.0885,0.07778919525890753,0.0,0.0,265.955958,0.8246208401112785,33.046667,0.10246422193112764,7.911542,0.024530461583476406,6.886958,0.021353644921055275,0.104625,0.0003243994082533113,5.837833,0.018100736637339576,7.851166,0.024343260258050343,6.313916,0.019576875643116984,0.248375,0.0007701094673827116,0.190374,0.0005902720472813944
photo-small,photo,small,262144,6,warm,313.498208,0.390749,294.281583,4.604876,1.065300127871067,1.0475799407158823,1.0945874942363982,19.216625,1.0,1.0,0.892042,0.405417,8.3e-05,2.820427943667817e-07,0.0,0.0,265.770792,0.9031173112861772,7.539042,0.025618463524440128,7.133625,0.024240813601984736,6.22175,0.02114216573315089,4.2e-05,1.42720450161504e-07,5.329666,0.018110769779296723,7.625167,0.025911125399920118,5.874043,0.01996062050542932,0.237626,0.0008074783259542273,0.196417,0.0006674457776040983
photo-medium,photo,medium,1920000,4,cold,311.0915,0.490375,202.54,5.437375,1.5359509232744148,1.3450592133073351,1.5808103773351572,108.5515,1.0,1.0,36.047459,0.667375,30.735833,0.15175191567097857,0.0,0.0,112.721083,0.5565373901451565,6.448167,0.03183651130640861,5.780792,0.028541483163819492,55.730959,0.2751602597017873,0.070958,0.0003503406734472203,19.612542,0.09683293176656463,45.968292,0.22695907968796286,10.243542,0.05057540238965143,0.437292,0.0021590401895921793,0.651667,0.0032174730917349658
photo-medium,photo,medium,1920000,4,warm,306.527625,1.701,166.415,1.646208,1.8419470901060602,1.7791220993095789,1.8777375147594697,140.112625,1.0,1.0,4.693751,0.296833,0.00025,1.5022684253222367e-06,0.0,0.0,79.626583,0.4784820058288015,6.120833,0.03678053661028152,5.824,0.03499684523630682,20.261292,0.12175159691133612,0.0,0.0,15.567541,0.09354650121683743,45.435626,0.2730260252982003,9.777292,0.058752468227022805,0.447626,0.002689817624613166,0.650584,0.003909407204879368
photo-medium,photo,medium,1920000,6,cold,458.49275,0.340833,280.557625,1.599375,1.634219529766835,1.4869924647130606,1.6448109457239568,177.935125,1.0,1.0,33.714542,0.664042,28.431667,0.10133984774072706,0.0,0.0,176.695458,0.6298009473098442,17.675167,0.06300013054359153,17.011125,0.06063326562591197,53.897249,0.1921075893054056,0.072541,0.00025856007299748134,20.110166,0.07167927088062569,46.435208,0.16551041163112212,10.026917,0.03573924251746856,0.43304,0.0015434975256865679,0.6225,0.002218795514825163
photo-medium,photo,medium,1920000,6,warm,456.480916,1.126751,245.492209,1.068542,1.8594517433341438,1.8316868883566337,1.8721904986393973,210.988707,1.0,1.0,5.136417,0.620042,0.000291,1.1853736669907923e-06,0.0,0.0,147.81175,0.6021036292846264,17.53775,0.07143913068133254,16.917708,0.06891342119944834,21.279917,0.08668265720807458,4.2e-05,1.7108485915331023e-07,16.143458,0.0657595532899376,44.539124,0.18142785134171,9.52725,0.03880876724686607,0.447207,0.0018216749192232003,0.653749,0.0026630132282527957
photo-large,photo,large,6000000,4,cold,944.08725,2.416125,572.325667,4.202459,1.6495630100755205,1.5792047805237177,1.6737513740153351,371.761583,1.0,1.0,43.994207,0.603626,28.989667,0.05065239717791654,0.0,0.0,281.856166,0.4924751452742377,21.488917,0.03754665960141187,20.885291,0.036491969877003615,128.734042,0.2249314497369904,0.072542,0.00012674951375193173,84.667293,0.147935516231181,137.831751,0.24082748502698204,15.117042,0.026413356715661678,0.6835,0.0011942501261261798,1.483833,0.0025926375236286583
photo-large,photo,large,6000000,4,warm,936.67375,1.021084,532.586708,2.356999,1.7587253604534194,1.7344954869345388,1.76846905800218,404.087042,1.0,1.0,14.101,0.553167,0.000291,5.463899035197101e-07,0.0,0.0,251.229,0.47171473907681527,19.660667,0.03691542936516545,19.1075,0.035876787221659316,94.072542,0.17663328916575213,0.0,0.0,79.971542,0.15015684920172662,137.336751,0.2578674025037816,14.491502,0.0272096576619783,0.75479,0.0014172152415039244,1.426917,0.002679220075466097
photo-large,photo,large,6000000,6,cold,1224.964917,2.778374,606.281541,1.646416,2.0204555708220053,1.94607026953005,2.0305523781801464,618.683376,1.0,1.0,45.239416,1.229541,29.399875,0.048492116305417915,0.0,0.0,282.089584,0.4652781998520387,52.650833,0.0868422167581711,51.421292,0.08481421340188881,129.343125,0.2133383853096725,0.072417,0.00011944450738275075,84.031292,0.13860110578560397,138.778792,0.22890156241784707,16.454375,0.027139825126227948,0.846959,0.0013969730937264343,1.454708,0.00239939351872829
photo-large,photo,large,6000000,6,warm,1217.582416,0.623584,565.700625,1.267666,2.152344123713846,2.1358713523507453,2.158282893611108,651.881791,1.0,1.0,14.394666,1.174625,0.000292,5.161740805925396e-07,0.0,0.0,252.787167,0.44685679284869095,51.8875,0.0917225431737856,50.712875,0.08964613571003215,94.571791,0.1671763947582699,0.0,0.0,80.177125,0.14173066363502781,133.834251,0.23658140911546632,16.095791,0.028452842879570797,0.784917,0.0013875130507412822,1.668041,0.0029486285259097953
texture-small,texture,small,262144,4,cold,20.98175,0.089375,51.197708,0.143833,0.4098181504531414,0.40173553832408176,0.4127233241355333,-30.215958,0.0,1.0,29.430043,0.0,28.737,0.5612946579561726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9215,0.6234947080052881,0.077041,0.0015047743934162052,2.414416,0.04715867358749731,8.962792,0.17506236802631867,7.948,0.15524132447491595,0.072584,0.0014177197151091217,1.379458,0.02694374521609444
texture-small,texture,small,262144,4,warm,20.786792,0.338292,21.556083,1.3185,0.9643121155174621,0.89221384003278,1.0447599893722486,-0.769291,0.0,1.0,0.69425,0.0,8.3e-05,3.8504212476821505e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.985833,0.1385146364485607,0.0,0.0,2.291583,0.10630795028948441,8.671583,0.4022800895691485,7.876,0.36537250297282675,0.055375,0.002568880440848182,1.3605,0.0631144350297779
texture-small,texture,small,262144,6,cold,21.149959,0.186375,52.681,2.442125,0.40147223856798464,0.3803047087769425,0.4768257340255332,-31.531041,0.0,1.0,30.859043,0.0,28.168625,0.534701790019172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.336584,0.6328008959586948,0.071291,0.0013532582904652532,2.40625,0.04567586036711528,8.827833,0.16757147738273762,7.985209,0.15157664053453807,0.060541,0.0011491999012926862,1.376792,0.026134507697272262
texture-small,texture,small,262144,6,warm,20.681917,0.202625,22.207792,0.145583,0.9312910081290386,0.916161071873934,1.0206483488745026,-1.525875,0.0,1.0,0.716042,0.0,0.000125,5.628655023426012e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85625,0.12861476728528437,0.0,0.0,2.140208,0.09637194008301231,9.176125,0.4131939366146801,7.730125,0.348081655303688,0.061584,0.00277308072770134,1.36825,0.06161125788642113
texture-medium,texture,medium,1920000,4,cold,117.488041,0.551749,124.881625,0.32025,0.9407952611122733,0.8983351924406545,0.9584077166778224,-7.393584,0.0,1.0,28.844333,0.0,24.060292,0.19266478955570926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.980958,0.26409776458306017,0.076291,0.0006109065284824729,4.060334,0.03251346224874956,64.93875,0.5200024423128703,11.50075,0.09209321227202161,0.066917,0.000535843443741223,10.274084,0.08227058224138259
